city,zhvi,total_pop,med_income,med_age,male,female,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp,murder_mansl,rape,robbery,agg_assault,burglary,lar_theft,car_theft,arson,lat,long
Alvin,80618.17,678,52656,41.1,322,356,674,4,5,38,0,0,1,677,0,0,0,0,0,0,0,0,40.3083697,-87.6083537
Amboy,94213.17,3748,51818,46.9,1837,1911,3629,44,0,41,15,34,85,3663,0,2,0,3,4,3,0,0,41.7141997,-89.3287061
Anchor,84136.58,201,60625,30.1,106,95,201,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,40.5680898,-88.5356146
Andalusia,121353.75,1229,64500,48,632,597,1209,27,3,0,0,3,10,1219,0,0,0,0,0,0,0,0,41.4391986,-90.717641
Liberty,112110,1956,63873,42.2,982,974,1929,13,0,27,0,0,0,1956,0,0,0,0,0,0,0,0,39.8794914,-91.1079163
Libertyville,437814,29058,134621,45.2,14196,14862,26453,511,148,2227,8,223,1245,27813,0,0,0,0,0,0,0,0,42.2830786,-87.9531303
Lincoln,90077.75,19535,54834,39.8,9332,10203,17130,1994,428,270,0,347,760,18775,0,5,2,45,38,204,11,2,40.1483768,-89.3648183
Lincolnshire,482420.08,8186,102632,53.3,3900,4286,7216,95,5,978,0,40,237,7949,0,0,0,0,0,0,0,0,42.1900249,-87.9084039
Lincolnwood,407846.5,12539,93250,47.3,6097,6442,8174,340,84,4405,0,203,964,11575,0,0,5,10,40,317,23,3,42.0044757,-87.7300594
Lindenwood,148982.67,560,59231,39,277,283,548,18,6,4,0,0,12,548,0,0,0,0,0,0,0,0,42.0530821,-89.0306545
Lisle,354210.33,28178,82952,37.7,13905,14273,22827,1529,208,3691,18,636,2055,26123,0,4,5,7,20,74,12,0,41.801141,-88.0747875
Litchfield,80716.08,8574,48580,45.5,4091,4483,8400,156,33,37,0,18,169,8405,0,2,1,2,26,188,3,3,39.1753256,-89.6542579
Little York,64963.17,578,51875,39.1,310,268,530,0,11,37,0,0,3,575,0,0,0,0,0,0,0,0,41.0111483,-90.7462496
Livingston,85206.25,757,47250,50.8,384,373,732,0,23,2,0,0,8,749,0,0,0,0,0,0,0,0,38.9675463,-89.7639828
Loami,138138.25,1537,59737,38.8,782,755,1517,10,5,15,0,0,57,1480,0,0,0,1,3,8,2,0,39.6756064,-89.846771
Lockport,216061.17,35415,74544,36.6,17954,17461,30565,3114,194,717,0,1415,3333,32082,0,2,5,10,31,137,9,3,41.5894753,-88.057837
Loda,159395.25,1496,69250,47.3,779,717,1375,42,0,18,0,61,24,1472,0,0,0,0,0,0,0,0,40.5175349,-88.0719857
Lomax,57735.25,500,38750,47.9,217,283,500,5,0,0,0,7,21,479,0,0,0,0,0,0,0,0,40.67893,-91.072921
Lombard,277436.92,52963,81504,38,26126,26837,42685,3136,291,7075,35,1101,5280,47683,1,15,4,32,59,781,16,2,41.8800296,-88.0078435
London Mills,58828.92,590,51875,44,302,288,590,0,16,0,0,0,0,590,0,0,0,0,0,0,0,0,40.7105947,-90.2662355
Long Point,83273.58,323,77917,42.1,176,147,317,0,4,6,0,0,3,320,0,0,0,0,0,0,0,0,41.0047545,-88.8917412
Longview,77029.25,221,43875,34.4,118,103,221,1,5,0,0,0,5,216,0,0,0,0,0,0,0,0,39.8867002,-88.0664274
Loraine,78622.92,626,49063,38.3,298,328,607,0,0,24,0,6,13,613,0,0,0,0,0,0,0,0,40.1542128,-91.2223653
Lostant,88030.58,732,62750,38.2,377,355,729,9,2,5,11,0,19,713,0,0,0,0,0,0,0,0,41.142812,-89.0600817
Louisville,70537,2790,55175,45.3,1494,1296,2745,37,4,12,0,0,91,2699,0,0,0,0,0,0,0,0,38.772269,-88.5025485
Loves Park,112012.25,23837,52931,39.3,11428,12409,22165,1058,254,764,55,364,2039,21798,0,24,13,49,71,354,31,1,42.3200189,-89.0581621
Lovington,80418.25,2132,57708,35.1,1105,1027,2100,37,11,0,0,0,16,2116,0,3,0,0,3,15,0,1,39.71559,-88.6325641
Ludlow,83499.75,535,53750,38.7,252,283,480,44,1,10,3,3,15,520,0,0,0,0,0,0,0,0,40.3869787,-88.1275437
Lyndon,81336.58,934,44792,37.8,497,437,919,0,0,3,0,14,16,918,0,0,0,0,0,0,0,0,41.7175302,-89.9259481
Lyons,183582.75,10544,60700,34.6,5210,5334,8630,580,61,256,8,1369,5328,5216,2,2,2,5,9,96,10,0,41.8133651,-87.8181128
Macedonia,92793.83,546,58450,44.8,300,246,546,3,0,0,0,0,0,546,0,0,0,0,0,0,0,0,38.0519929,-88.7053365
Machesney Park,115334.75,22574,60213,38.9,11105,11469,21297,729,128,630,31,493,1340,21234,0,15,7,35,57,341,18,1,42.3472406,-89.0389956
Mackinaw,152560,4738,82404,39,2395,2343,4698,21,14,0,0,9,91,4647,0,0,0,0,0,0,0,0,40.5369829,-89.3575913
Macomb,93144.67,20698,42013,27.9,9693,11005,18433,1761,167,762,61,127,754,19944,1,19,2,34,36,185,7,1,40.4592076,-90.6717971
Macon,100304.83,1597,65000,47.7,810,787,1577,23,47,0,0,13,6,1591,0,0,0,0,0,0,0,0,39.7128155,-88.9970218
Magnolia,80008.17,569,66250,36.3,317,252,539,15,9,0,73,3,15,554,0,0,0,0,0,0,0,0,41.113646,-89.1945292
Mahomet,205113.42,13981,90465,35.5,6697,7284,13422,437,24,267,40,68,680,13301,0,5,0,5,12,43,1,0,40.1953106,-88.4042234
Makanda,157265.75,2146,65387,46.9,1128,1018,1971,99,68,107,7,0,49,2097,0,0,0,0,0,0,0,0,37.6175502,-89.2089717
