Pekin,42059,20686,21373,40945,975,381,310,52,162,879,41180,53504,40.8,91370.58,0,0,0,0,0,0,0,0,40.5675388,-89.640658
Macomb,20698,9693,11005,18433,1761,167,762,61,127,754,19944,42013,27.9,93144.67,1,19,2,34,36,185,7,1,40.4592076,-90.6717971
London Mills,590,302,288,590,0,16,0,0,0,0,590,51875,44,58828.92,0,0,0,0,0,0,0,0,40.7105947,-90.2662355
Bradford,1300,667,633,1274,24,0,7,0,2,25,1275,55417,44.4,70070.33,0,0,0,0,0,0,0,0,41.1772594,-89.6575977
Rockford,22782.875,11100.125,11682.75,16967.5,4810,259.375,853,28.625,722.625,3792.25,18990.625,47194.25,38.85,81310.4375,23,133,346,1525,1169,3752,447,64,42.2711311,-89.0939952
Harvard,13681,6752,6929,12903,174,72,10,41,772,5605,8076,58264,34.1,168602.08,0,3,0,5,4,58,2,0,42.422241,-88.6137101
Calumet City,36955,16050,20905,8642,27669,348,82,39,596,5596,31359,42718,37.1,100661.42,5,36,107,39,205,586,189,4,41.6155909,-87.5294871
Bolingbrook,37224,18546,18678,19590,8197.5,234,5099.5,23,6109,9471.5,27752.5,97642.5,35.3,244200.625,1,23,17,71,60,477,55,3,41.6986416,-88.0683955
Wheaton,30067.5,14750,15317.5,26616,1517,181,2306.5,112.5,293,1733,28334.5,101130,37.75,375121.915,0,16,8,15,64,554,11,2,41.8661403,-88.1070127
Tremont,4223,2116,2107,4121,10,19,98,0,7,58,4165,80220,36.6,159174,0,0,0,0,0,0,0,0,40.5275392,-89.4925979
Lincolnshire,8186,3900,4286,7216,95,5,978,0,40,237,7949,102632,53.3,482420.08,0,0,0,0,0,0,0,0,42.1900249,-87.9084039
Union Hill,58,33,25,58,0,0,0,0,0,0,58,62188,24.5,125272,0,0,0,0,0,0,0,0,41.1075321,-88.1467188
Saint David,519,264,255,519,0,2,0,0,0,1,518,43250,39.3,42482.25,0,0,0,0,0,0,0,0,40.4933728,-90.0487284
Joy,1062,474,588,1053,0,3,0,0,8,18,1044,45750,41.7,70064.17,0,0,0,0,0,0,0,0,41.1967002,-90.8804201
Forreston,2302,1133,1169,2231,66,3,82,0,11,101,2201,53906,37.4,84495.17,0,0,0,0,0,0,0,0,42.1261367,-89.5792801
Sheffield,1117,521,596,1103,23,6,7,0,2,47,1070,52813,45.6,80630.92,0,0,0,0,0,0,0,0,41.3583693,-89.7373226
Palos Hills,17473,7986,9487,16101,978,32,432,0,326,1515,15958,59104,40.9,257719.25,0,2,3,13,8,68,8,0,41.6966992,-87.8169984
La Salle,10088,5116,4972,9410,159,2,124,17,509,1887,8201,47692,38.2,89976.75,0,0,0,0,9,92,2,0,41.3333679,-89.0917497
Hopedale,1479,719,760,1475,7,8,0,0,2,17,1462,77578,46.4,124495.67,0,0,0,0,0,0,0,0,40.4208735,-89.4145404
Maywood,23810,11498,12312,4044,16391,355,213,0,3371,6510,17300,48600,36.4,163066.75,4,20,57,54,120,345,105,4,41.8791979,-87.8431155
Peotone,6044,3186,2858,5878,68,106,12,13,76,429,5615,83414,40.6,196398.5,0,2,0,1,4,19,0,0,41.3322554,-87.7853217
Palos Park,9715,4495,5220,9069,196,42,369,0,295,769,8946,87621,50.8,382623.92,0,0,0,0,4,57,2,0,41.6672547,-87.8303316
Davis,3244,1624,1620,3205,27,33,16,0,0,5,3239,67443,47.7,153799.5,0,0,0,0,0,0,0,0,42.4225149,-89.4137259
Cisco,337,178,159,336,3,14,0,0,0,0,337,59091,48.3,100808.08,0,0,0,0,0,0,0,0,40.0114248,-88.7261827
Rock City,1503,768,735,1479,2,40,16,0,0,0,1503,61364,41.3,136188.75,0,0,0,0,0,0,0,0,42.4133485,-89.468171
Lindenwood,560,277,283,548,18,6,4,0,0,12,548,59231,39,148982.67,0,0,0,0,0,0,0,0,42.0530821,-89.0306545
Belvidere,34292,16669,17623,29978,1034,368,590,100,3375,9254,25038,58709,38.5,147535.42,0,18,2,40,51,206,13,1,42.2639098,-88.8442674
North Aurora,18125,8825,9300,14704,1001,131,1359,0,1510,2848,15277,81947,39.2,249044.08,0,6,4,14,14,220,6,1,41.8061399,-88.3272952
Farmington,3335,1647,1688,3274,0,38,77,0,8,77,3258,56528,40.9,84009.17,0,1,0,5,6,21,0,0,40.6980933,-90.0059483
Warrenville,13448,6775,6673,11813,726,45,841,9,365,2537,10911,82106,37.4,236812.17,0,6,2,5,11,92,5,0,41.817807,-88.1734021
Atkinson,1519,702,817,1509,4,18,5,0,0,13,1506,58636,40.1,118251.17,0,0,0,0,0,0,0,0,41.4208678,-90.0151121
Yates City,1191,589,602,1186,32,20,0,0,0,0,1191,56607,45.2,87263.75,0,1,0,0,1,7,0,0,40.7786485,-90.0148371
Armington,592,307,285,588,0,10,4,0,0,15,577,71111,46.8,79991,0,0,0,0,0,0,0,0,40.3389293,-89.3114813
Steger,9674,4819,4855,6482,2517,111,140,40,687,1491,8183,47516,40.9,81217.42,0,5,6,14,48,185,14,1,41.4700348,-87.636432
Willow Springs,5370,2540,2830,4789,183,78,324,0,155,869,4501,83505,44.8,292643.17,0,0,0,4,5,26,0,0,41.7408652,-87.8603343
Yorkville,24886,12460,12426,21503,1883,120,849,0,1193,3049,21837,95878,35.5,253435.08,0,8,3,7,17,178,5,2,41.6411409,-88.4472948
Cuba,2192,1073,1119,2122,92,0,0,0,5,15,2177,58641,47.2,83438.5,0,0,0,0,0,0,0,0,40.4928181,-90.1906768
Abingdon,3892,1731,2161,3865,55,62,0,0,0,39,3853,44570,39.4,59676.67,0,0,0,0,0,0,0,0,40.8044833,-90.4017954
Polo,3640,1902,1738,3535,27,27,32,0,39,125,3515,57525,44.1,88212.33,0,0,0,0,0,0,0,0,41.986141,-89.5792782
