,vio_crime,murder_mansl,rape,robbery,agg_assault,prop_crime,burglary,lar_theft,car_theft,arson
Normal,119,2,35,21,61,985,119,843,23,0
Norridge,20,0,0,9,11,413,26,373,14,0
Norris City,10,0,0,0,10,9,0,9,0,0
North Aurora,24,0,6,4,14,240,14,220,6,1
Northbrook,6,0,3,1,2,512,67,431,14,0
Northfield,3,1,1,0,1,82,19,58,5,0
Northlake,10,0,1,6,3,268,14,250,4,0
North Pekin,0,0,0,0,0,19,3,16,0,0
North Riverside,20,1,0,4,15,448,10,401,37,0
North Utica,2,0,0,0,2,2,1,1,0,0
Oak Brook,10,0,3,3,4,552,22,514,16,0
Oakbrook Terrace,2,0,0,0,2,85,5,78,2,0
Oak Forest,37,0,5,12,20,304,48,222,34,0
Oak Lawn,81,0,11,24,46,758,74,671,13,3
Oak Park3,,2,16,97,,,,"1,176",65,2
Oakwood,1,0,1,0,0,13,5,8,0,0
Oblong,3,0,0,0,3,10,1,9,0,0
O'Fallon,81,1,28,11,41,543,76,456,11,2
Okawville,2,0,0,0,2,22,6,16,0,0
Olney,45,0,11,5,29,371,70,289,12,5
Olympia Fields,7,0,1,4,2,353,17,327,9,0
Onarga,2,0,0,0,2,12,6,5,1,0
Orion,3,0,0,0,3,13,1,12,0,0
Orland Park,20,1,1,5,13,"1,015",29,963,23,2
Oswego,17,0,8,2,7,298,10,284,4,2
Ottawa,15,0,1,2,12,310,45,259,6,5
Palatine,28,1,11,7,9,358,26,317,15,0
Palestine,9,0,1,0,8,30,8,20,2,0
Palos Heights,3,0,0,2,1,135,11,114,10,0
Palos Hills,18,0,2,3,13,84,8,68,8,0
Palos Park,0,0,0,0,0,63,4,57,2,0
Paris,61,0,10,1,50,162,91,59,12,0
Park City,11,0,6,2,3,86,8,68,10,0
Park Forest,61,1,4,24,32,344,75,218,51,7
Park Ridge,21,0,2,4,15,341,51,273,17,4
Pawnee,1,0,1,0,0,0,0,0,0,0
Paxton,11,0,3,0,8,48,18,28,2,0
Pekin2,136,1,37,16,82,,127,,25,4
Peoria,860,22,68,201,569,"4,509",890,"3,197",422,50
Peoria Heights,18,0,7,0,11,90,21,49,20,0
Peotone,3,0,2,0,1,23,4,19,0,0
Peru,10,0,5,1,4,149,12,133,4,1
Phoenix,8,0,2,5,1,44,9,29,6,0
Pierron,0,0,0,0,0,0,0,0,0,0
Pinckneyville,4,0,0,0,4,34,5,29,0,0
Pingree Grove,3,0,3,0,0,48,1,47,0,0
Pittsfield,7,1,3,0,3,31,8,22,1,0
Plainfield,54,0,14,7,33,328,34,275,19,0
Plano,9,0,4,1,4,72,8,61,3,1
Pleasant Hill,0,0,0,0,0,24,5,19,0,0
Pleasant Plains,0,0,0,0,0,6,1,5,0,0
Pontiac,40,0,0,4,36,172,21,149,2,1
Pontoon Beach,13,0,0,3,10,68,5,53,10,0
Posen,14,0,1,6,7,116,14,82,20,0
Potomac,2,0,1,0,1,3,2,1,0,0
Princeton,22,0,11,1,10,160,26,128,6,0
Prophetstown,0,0,0,0,0,1,1,0,0,0
Prospect Heights,25,0,5,3,17,82,11,61,10,0
Quincy,252,1,51,14,186,"1,288",216,"1,022",50,3
Rankin,0,0,0,0,0,0,0,0,0,0
Rantoul,35,1,18,14,2,349,92,243,14,1
Red Bud,4,0,0,0,4,26,13,12,1,0
Richmond,11,0,3,1,7,20,4,15,1,0
Richton Park,55,0,7,27,21,331,40,235,56,0
Ridge Farm,0,0,0,0,0,14,3,11,0,0
Riverdale,99,5,11,41,42,377,88,237,52,2
River Forest,14,0,0,6,8,233,32,193,8,0
Riverside,13,0,5,4,4,91,11,77,3,0
Riverton,12,0,3,0,9,41,10,26,5,0
Riverwoods,2,0,1,1,0,22,3,16,3,0
Robbins,38,2,3,5,28,57,8,26,23,3
Rochester,2,0,0,0,2,18,2,14,2,0
Rockdale,4,0,0,0,4,6,1,3,2,0
Rock Falls,11,0,2,0,9,89,23,61,5,0
Rockford,"2,027",23,133,346,"1,525","5,368","1,169","3,752",447,64
Rock Island,99,1,3,19,76,986,166,688,132,11
Rockton,9,0,3,0,6,184,9,173,2,0
Rolling Meadows,15,0,3,3,9,284,19,258,7,0
Romeoville,58,1,10,15,32,431,42,361,28,2
Roscoe,10,0,0,1,9,93,23,66,4,0
Roselle,9,0,6,1,2,206,24,172,10,1
Rosemont,42,0,10,8,24,411,8,396,7,0
Round Lake,18,0,0,3,15,108,14,84,10,0
Round Lake Beach,34,0,7,6,21,509,36,461,12,1
Round Lake Heights,7,0,0,1,6,12,1,11,0,0
Round Lake Park,23,0,0,5,18,49,8,39,2,2
Roxana,4,0,2,0,2,35,3,32,0,0
Ruma,0,0,0,0,0,4,0,4,0,0
Rushville,6,0,2,0,4,46,7,37,2,0
Salem,18,0,6,1,11,342,42,287,13,1
Sandoval,7,0,3,0,4,50,14,32,4,28
Sandwich,7,0,2,0,5,9,5,2,2,0
San Jose,0,0,0,0,0,2,0,0,2,0
Sauget,2,1,0,1,0,47,7,28,12,0
Sauk Village3,,3,16,23,,271,103,135,33,1
Savanna,14,0,3,0,11,98,28,66,4,1
Schaumburg,61,0,15,22,24,"1,516",75,"1,393",48,1
Schiller Park,17,0,2,6,9,219,18,178,23,1
Seneca,13,0,0,0,13,40,8,32,0,0
Shannon,0,0,0,0,0,4,0,4,0,0
Shawneetown,5,0,0,0,5,13,7,6,0,0
Sherman,3,0,1,0,2,21,6,15,0,0
Shiloh,22,0,12,4,6,159,32,121,6,2
Shorewood,14,0,6,1,7,101,9,88,4,1
Sidell,0,0,0,0,0,0,0,0,0,0
Silvis,32,0,3,3,26,174,39,123,12,0
Skokie,172,0,15,37,120,"1,606",206,"1,348",52,7
Sleepy Hollow,2,0,0,0,2,8,0,8,0,0
Smithton,1,0,0,0,1,8,3,5,0,0
Somonauk,1,0,0,0,1,5,3,2,0,0
South Barrington,0,0,0,0,0,105,6,86,13,0
South Beloit,13,3,0,4,6,102,17,80,5,0
South Chicago Heights,19,1,1,8,9,151,6,138,7,0
South Elgin,24,0,13,3,8,97,12,85,0,0
South Holland,68,2,19,31,16,541,89,352,100,0
South Pekin,0,0,0,0,0,36,9,24,3,0
South Roxana,7,0,4,0,3,25,8,13,4,0
Springfield,955,9,93,216,637,"5,487","1,195","4,044",248,40
Spring Grove,4,0,0,0,4,45,3,40,2,0
Spring Valley,8,0,1,0,7,90,11,79,0,0
Stanford,0,0,0,0,0,0,0,0,0,0
St. Charles,45,1,11,5,28,232,32,189,11,0
Steger,25,0,5,6,14,247,48,185,14,1
St. Elmo,4,0,0,0,4,10,1,7,2,0
Sterling,34,0,25,3,6,436,42,373,21,1
Stickney,2,0,0,2,0,52,6,40,6,1
Stockton,1,0,0,0,1,21,5,16,0,1
Stonington,1,0,0,1,0,0,0,0,0,0
Streator,31,1,22,1,7,302,25,270,7,7
Sullivan,46,0,1,0,45,49,4,44,1,0
Summit,40,0,9,15,16,241,25,186,30,0
Swansea,14,1,2,4,7,192,38,145,9,2
Sycamore,10,0,3,2,5,172,14,155,3,1
Taylorville,7,0,0,2,5,134,21,107,6,0
Thayer,0,0,0,0,0,3,0,3,0,0
Thornton,6,0,2,2,2,38,10,25,3,0
Tilton,17,0,4,4,9,58,11,45,2,0
Tinley Park,23,0,2,9,12,694,79,582,33,0
Tolono,5,0,3,0,2,23,9,12,2,0
Toluca,3,0,0,0,3,9,2,7,0,0
Tower Lakes,0,0,0,0,0,6,4,2,0,0
Trenton,3,0,2,1,0,18,4,11,3,0
Troy,13,0,3,0,10,81,24,50,7,0
Tuscola,28,0,0,2,26,74,12,58,4,0
Urbana,150,2,24,57,67,"1,233",198,"1,012",23,8
Valmeyer,2,0,0,0,2,9,2,7,0,0
Vandalia,24,0,7,1,16,159,27,127,5,0
Vernon Hills,15,0,4,7,4,295,20,271,4,2
Vienna,0,0,0,0,0,14,2,9,3,0
Villa Park,27,0,8,7,12,232,25,191,16,1
Viola,0,0,0,0,0,0,0,0,0,0
Virden,10,0,3,0,7,131,35,88,8,0
Walnut,0,0,0,0,0,4,1,3,0,0
Warren,3,0,0,0,3,0,0,0,0,0
Warrensburg,2,0,1,0,1,4,1,3,0,0
Warrenville,13,0,6,2,5,108,11,92,5,0
Washington,30,0,5,1,24,193,36,153,4,1
Waterloo,13,0,7,0,6,73,10,62,1,0
Watseka,9,0,5,1,3,136,22,112,2,0
"Waukegan2,3",355,11,20,150,174,,296,,,
Waverly,0,0,0,0,0,11,3,8,0,0
Wayne,0,0,0,0,0,5,1,4,0,0
Westchester,19,0,2,9,8,172,41,126,5,2
West Chicago,34,2,13,6,13,245,28,200,17,0
West City,5,0,0,0,5,96,3,93,0,0
Western Springs,2,0,0,1,1,154,13,139,2,2
West Frankfort,2,0,0,2,0,242,95,127,20,2
Westmont,19,0,8,3,8,270,39,217,14,3
Westville,14,0,5,2,7,58,22,30,6,0
Wheaton,39,0,16,8,15,629,64,554,11,2
Wheeling,27,1,13,1,12,322,53,257,12,0
White Hall,8,0,3,1,4,30,11,18,1,1
Williamsville,2,0,1,0,1,2,1,1,0,0
Willow Springs,4,0,0,0,4,31,5,26,0,0
Wilmette,13,0,0,0,13,259,61,186,12,0
Winfield,10,2,5,0,3,33,4,25,4,0
Winnebago,3,0,2,0,1,31,3,25,3,0
Winnetka,3,0,2,0,1,108,15,85,8,0
Winthrop Harbor,12,0,4,1,7,23,4,16,3,0
Witt,0,0,0,0,0,7,1,6,0,0
Wood Dale,10,0,3,3,4,191,22,161,8,0
Woodridge,32,0,6,12,14,392,32,338,22,4
Wood River,59,0,15,10,34,528,56,440,32,0
Woodstock,24,0,10,2,12,298,27,266,5,0
Worth,26,0,11,7,8,123,21,92,10,1
Yates City,1,0,1,0,0,8,1,7,0,0
Yorkville,18,0,8,3,7,200,17,178,5,2
Zion,148,4,36,45,63,721,129,553,39,4
