Zipcodes,Median income (dollars)
61328,-
61329,65972
61330,81250
61331,-
61332,66250
61333,77917
61334,62750
61335,83750
61336,66250
61337,41333
61338,52000
61340,77708
61341,59147
61342,58845
61344,46250
61345,71667
61346,52750
61348,59219
61349,63026
61350,53793
61353,54423
61354,50809
61356,59638
61358,41528
61359,53750
61360,71198
61361,52813
61362,49112
61363,43571
61364,48564
61367,51711
61368,47619
61369,54205
61370,59583
61372,65000
61373,74821
61374,84167
61375,64706
61376,50833
61377,58289
61378,47000
61379,56250
61401,38710
61410,44570
61411,68594
61412,57250
61413,55682
61414,54965
61415,56667
61416,21250
61417,61667
61418,47500
61419,47500
61420,50078
61421,55417
61422,44981
61423,80179
61424,120250
61425,55781
61426,43684
61427,58641
61428,70625
61430,59063
61431,39125
61432,72188
61433,-
61434,39280
61435,-
61436,65417
61437,57375
61438,63750
61439,52250
61440,64063
61441,45714
61442,37500
61443,40559
61447,66250
61448,55801
61449,36667
61450,44500
61451,69821
61452,46750
61453,51875
61454,38750
61455,42013
61458,56354
61459,72992
61460,43864
61462,43568
61465,70368
61466,61667
61467,74306
61468,-
61469,44967
61470,47222
61471,46667
61472,72727
61473,44883
61474,51875
61475,76563
61476,49511
61477,40000
61478,85341
61479,17969
61480,51389
61482,53750
61483,51591
61484,50556
61485,48684
61486,63382
61488,53750
61489,52500
61490,58750
61491,56286
61501,43897
61516,71500
61517,83929
61519,53750
61520,47362
61523,59758
61524,48333
61525,122000
61526,81875
61528,105918
61529,70750
61530,58936
61531,56528
61532,51833
61533,60250
61534,57917
61535,81964
61536,70690
61537,47259
61539,52000
61540,57137
61541,30250
61542,56811
61543,35208
61544,51875
61545,53542
61546,63387
61547,94688
61548,88233
61550,76797
61552,32857
61553,40625
61554,53504
61559,62241
61560,62857
61561,56071
61562,-
61563,43250
61564,49934
61565,58516
61567,38750
61568,80220
61569,77763
61570,52688
61571,70785
61572,56607
61602,18958
61603,34167
61604,46813
61605,21923
61616,44037
61625,-
61701,45664
61704,87174
61705,106915
61720,60625
61721,71111
61722,62813
61723,64453
61724,52969
61725,85795
61726,61442
61727,53923
61728,60333
61729,77813
61730,65417
61731,112578
61732,83750
61733,61458
61734,59798
61735,59583
61736,94063
61737,71442
61738,71857
61739,53993
61740,52917
61741,70385
61742,94231
61743,61250
61744,66667
61745,78565
61747,77578
61748,83750
61749,53261
61750,58650
61751,66250
61752,72798
61753,65547
61754,65417
61755,82404
61756,68953
61759,65268
61760,65208
61761,55434
61764,52017
61769,60000
61770,61563
61771,92574
61772,78438
61773,46250
61774,72206
61775,81250
61776,90294
61777,55625
61778,61750
61801,31530
61802,45321
61810,59583
61811,52656
61812,68500
61813,48214
61814,57083
61815,61250
61816,56667
61817,53950
61818,62132
61820,24305
61821,55743
61822,85231
61830,59091
61831,52083
61832,37822
61833,41503
61834,62538
61839,64813
61840,62941
61841,63417
61842,60404
61843,62400
61844,63393
61845,82813
61846,43750
61847,74792
61848,54750
61849,63295
61850,53929
61851,64167
61852,43875
61853,90465
61854,62143
61855,-
61856,75665
61857,32500
61858,60068
61859,72344
61862,71827
61863,69750
