zipcode,total_pop,male,female,med_age,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp
61001,1042,555,487,54.6,1012,1,0,11,0,18,19,1023
61006,1905,913,992,38,1847,39,30,27,0,49,72,1833
61007,507,294,213,45.9,507,6,0,0,0,0,9,498
61008,34292,16669,17623,38.5,29978,1034,368,590,100,3375,9254,25038
61010,7805,3736,4069,38.1,7627,190,8,71,10,57,393,7412
61011,2326,1240,1086,53.9,1975,39,0,249,8,63,101,2225
61012,2432,1319,1113,36.1,2286,15,26,0,0,148,642,1790
61013,504,229,275,45.5,496,8,3,0,0,0,52,452
61014,1289,626,663,36.1,1286,10,0,8,8,3,28,1261
61015,1107,506,601,42.4,1105,0,0,0,0,2,2,1105
61016,4962,2528,2434,51.6,4554,242,105,182,4,20,225,4737
61018,1002,470,532,40.9,1002,30,3,2,0,2,21,981
61019,3244,1624,1620,47.7,3205,27,33,16,0,0,5,3239
61020,3131,1612,1519,33.3,3045,72,7,22,0,46,331,2800
61021,23031,12648,10383,43.2,20917,1838,99,280,51,358,1521,21510
61024,2534,1266,1268,47.5,2524,12,5,10,0,0,32,2502
61025,4645,2525,2120,43.1,4563,58,6,49,12,10,25,4620
61027,77,48,29,30,29,48,0,0,0,0,0,77
61028,2051,1018,1033,50.4,2024,17,4,2,6,18,15,2036
61030,2302,1133,1169,37.4,2231,66,3,82,0,11,101,2201
61031,1541,796,745,44.5,1512,30,0,3,0,119,114,1427
61032,29896,13985,15911,44.8,25027,5164,248,378,42,173,1410,28486
61036,6620,3161,3459,56.2,6575,21,14,0,0,35,430,6190
61037,55,26,29,74.1,55,0,0,0,0,0,7,48
61038,1149,638,511,50.3,1149,0,0,0,0,0,76,1073
61039,1012,542,470,31.7,993,1,0,5,0,14,80,932
61041,959,454,505,53.4,904,24,43,4,0,7,11,948
61042,605,321,284,46,578,10,0,5,0,17,20,585
61043,76,45,31,55.4,73,0,0,2,0,6,8,68
61044,277,131,146,35.9,277,18,0,0,0,0,0,277
61046,2451,1181,1270,51.3,2352,23,51,14,0,76,113,2338
61047,1839,859,980,51.3,1822,25,0,1,2,0,23,1816
61048,3876,1966,1910,48.7,3840,26,0,10,0,16,73,3803
61049,560,277,283,39,548,18,6,4,0,0,12,548
61050,445,241,204,49.6,445,0,0,0,0,0,0,445
61051,1688,937,751,40.1,1670,66,28,0,0,6,81,1607
61052,821,439,382,55.7,817,4,3,2,0,3,38,783
61053,2612,1244,1368,52.4,2565,22,0,17,0,15,51,2561
61054,3674,1707,1967,45.2,3652,35,0,16,0,22,82,3592
61057,111,50,61,36.2,108,5,0,7,0,7,5,106
61059,212,87,125,31.4,203,0,9,0,0,0,1,211
61060,1425,804,621,43.5,1418,0,0,1,0,6,9,1416
61061,6382,3117,3265,51.1,6322,90,26,7,11,14,276,6106
61062,1803,952,851,46.4,1767,20,23,5,0,31,55,1748
61063,4260,2271,1989,40.1,4253,71,0,26,0,7,51,4209
61064,3640,1902,1738,44.1,3535,27,27,32,0,39,125,3515
61065,10360,5407,4953,34.8,9637,562,252,83,9,65,1052,9308
61067,752,376,376,60.3,740,3,0,12,0,0,0,752
61068,14289,7438,6851,38,12785,463,242,128,16,963,3403,10886
61070,1503,768,735,41.3,1479,2,40,16,0,0,0,1503
61071,13997,6945,7052,41.9,13169,472,81,22,0,444,1957,12040
61072,11565,5605,5960,43.2,11357,156,88,26,6,58,308,11257
61073,19165,9480,9685,39.8,17932,509,28,809,0,79,462,18703
61074,"4,188","2,005","2,183",48.2,"3,973",159,22,67,0,38,205,"3,983"
61075,992,500,492,50.1,975,17,2,8,0,4,18,974
61077,36,18,18,-,36,0,0,0,0,0,0,36
61078,"1,253",613,640,50.7,"1,220",5,0,24,2,10,32,"1,221"
61079,170,99,71,37.2,166,0,0,4,0,3,3,167
61080,"10,440","5,071","5,369",36.7,"9,969",471,78,125,22,221,"1,099","9,341"
61081,"21,129","10,250","10,879",43.2,"19,605",847,222,314,61,980,"4,448","16,681"
61084,"3,085","1,473","1,612",46.5,"3,037",0,0,29,0,24,156,"2,929"
61085,"3,629","1,825","1,804",41.6,"3,583",31,18,54,9,27,92,"3,537"
61087,"1,493",726,767,49.5,"1,457",65,8,16,2,18,32,"1,461"
61088,"6,052","3,005","3,047",42.3,"5,825",201,10,49,0,0,77,"5,975"
61089,728,385,343,38.6,728,0,0,0,0,0,25,703
61091,45,20,25,-,45,0,0,0,0,0,25,20
61101,"19,546","9,846","9,700",34.7,"11,163","8,201",395,202,36,529,"3,293","16,253"
61102,"17,760","9,110","8,650",34.7,"10,634","5,911",226,242,68,"1,435","5,613","12,147"
61103,"23,964","11,391","12,573",42.2,"17,921","5,470",260,373,0,625,"2,774","21,190"
61104,"19,454","9,673","9,781",31.6,"12,481","6,024",376,828,3,575,"4,850","14,604"
61107,"30,905","14,907","15,998",42.8,"26,121","2,763",338,"1,941",92,766,"3,368","27,537"
61108,"27,819","13,269","14,550",40.9,"22,135","4,374",253,"1,504",0,564,"4,050","23,769"
61109,"27,224","13,382","13,842",36.4,"21,741","4,011",223,"1,024",4,"1,142","5,108","22,116"
61111,"23,837","11,428","12,409",39.3,"22,165","1,058",254,764,55,364,"2,039","21,798"
61112,66,7,59,86,66,0,0,0,0,0,0,66
61114,"15,591","7,223","8,368",47.5,"13,544","1,726",4,710,26,145,"1,282","14,309"
61115,"22,574","11,105","11,469",38.9,"21,297",729,128,630,31,493,"1,340","21,234"
61201,"38,385","18,628","19,757",36.7,"28,476","8,487",529,"1,890",149,791,"4,329","34,056"
61230,"1,121",531,590,45.4,"1,119",0,2,0,0,2,47,"1,074"
61231,"5,213","2,527","2,686",46.8,"5,118",54,10,58,0,11,80,"5,133"
61232,"1,229",632,597,48,"1,209",27,3,0,0,3,10,"1,219"
61234,"1,267",606,661,47.8,"1,237",22,11,0,0,12,44,"1,223"
61235,"1,519",702,817,40.1,"1,509",4,18,5,0,0,13,"1,506"
61236,123,62,61,25,113,0,2,0,1,28,28,95
61238,"3,534","1,871","1,663",42,"3,414",80,20,10,0,10,45,"3,489"
61239,"1,239",605,634,26.6,827,412,0,12,0,29,75,"1,164"
61240,"6,138","3,085","3,053",44.4,"6,014",86,50,35,10,78,212,"5,926"
61241,"6,827","3,532","3,295",42.4,"6,798",304,29,33,0,14,829,"5,998"
61242,"1,208",635,573,52.4,"1,192",12,0,0,0,6,23,"1,185"
61243,248,110,138,57.2,248,0,0,0,0,0,1,247
61244,"23,679","12,179","11,500",40,"18,711","3,828",125,"1,035",4,"1,154","3,865","19,814"
61250,"2,502","1,215","1,287",41,"2,478",0,1,38,0,0,43,"2,459"
61251,337,172,165,46.9,337,0,0,0,0,0,0,337
61252,"5,341","2,729","2,612",45.9,"5,268",28,47,29,13,27,47,"5,294"
61254,"11,004","5,261","5,743",44.9,"10,809",154,101,101,0,0,221,"10,783"
61256,"1,962","1,006",956,40.2,"1,886",116,0,7,0,3,139,"1,823"
61257,"1,198",629,569,37.3,"1,189",14,13,7,0,4,21,"1,177"
61258,236,124,112,37.2,236,0,0,0,0,0,0,236
61259,"1,283",611,672,41.7,"1,283",0,7,0,0,158,158,"1,125"
61260,"1,062",474,588,41.7,"1,053",0,3,0,0,8,18,"1,044"
61261,934,497,437,37.8,919,0,0,3,0,14,16,918
61262,"1,123",564,559,46.9,"1,107",0,0,0,0,16,70,"1,053"
61263,743,359,384,33.6,730,0,2,17,0,1,81,662
61264,"10,621","5,037","5,584",45.7,"10,118",407,80,72,41,135,573,"10,048"
61265,"43,706","21,526","22,180",39.9,"38,136","3,419",359,"1,323",19,"1,767","7,283","36,423"
61270,"7,007","3,488","3,519",46.2,"6,923",41,0,88,8,24,86,"6,921"
61272,"1,198",617,581,45,"1,183",25,5,1,0,9,34,"1,164"
61273,"3,243","1,651","1,592",45.7,"3,190",45,10,12,0,47,53,"3,190"
61274,201,115,86,53.7,201,0,0,0,0,0,8,193
61275,"4,750","2,396","2,354",41.3,"4,561",66,93,82,0,216,278,"4,472"
61276,110,31,79,39.1,41,0,0,0,0,69,69,41
61277,"3,245","1,627","1,618",47.4,"3,181",61,15,35,14,0,36,"3,209"
61278,479,226,253,41.5,464,8,1,15,0,9,9,470
61279,870,460,410,46.3,865,4,0,0,0,1,17,853
61281,"2,394","1,244","1,150",49.5,"2,320",67,10,37,0,0,7,"2,387"
61282,"7,820","3,614","4,206",38.7,"6,956",968,82,42,12,269,"1,407","6,413"
61283,"1,742",897,845,30.4,"1,737",3,0,0,0,5,14,"1,728"
61284,"2,110","1,010","1,100",52.1,"2,032",11,7,33,0,56,42,"2,068"
61285,"1,627",880,747,50,"1,624",0,0,3,0,0,13,"1,614"
61301,"10,088","5,116","4,972",38.2,"9,410",159,2,124,17,509,"1,887","8,201"
61310,"3,748","1,837","1,911",46.9,"3,629",44,0,41,15,34,85,"3,663"
61311,204,113,91,48,204,0,0,0,0,0,0,204
61312,511,261,250,46.7,484,7,5,0,0,22,26,485
61313,209,104,105,42.8,209,0,0,0,0,0,0,209
61314,885,441,444,44.6,855,0,0,30,0,0,0,885
61315,213,110,103,36.8,213,0,1,0,0,0,1,212
61316,299,149,150,36.8,299,0,0,0,0,0,32,267
61317,479,271,208,39.7,479,0,0,0,0,0,8,471
61318,845,357,488,37.1,696,16,15,4,0,123,169,676
61319,"1,434",792,642,42.6,"1,434",24,3,0,0,0,15,"1,419"
61320,724,390,334,48.1,655,22,6,26,0,23,42,682
61321,248,102,146,46.4,248,0,0,0,0,0,13,235
61322,"1,454",816,638,37.1,"1,045",10,22,11,0,396,948,506
61323,91,35,56,50.8,91,0,0,0,0,0,0,91
61324,92,63,29,58.5,92,0,0,0,0,0,0,92
61325,970,472,498,41.8,910,3,2,12,0,50,109,861
61326,"2,297","1,170","1,127",44.9,"2,273",0,26,13,0,24,139,"2,158"
61327,"1,326",692,634,44.3,"1,310",22,9,8,0,0,38,"1,288"
61328,25,8,17,17.6,25,0,0,0,0,0,0,25
61329,"1,185",587,598,42.9,"1,133",0,0,7,0,49,83,"1,102"
61330,"1,437",730,707,49.4,"1,388",6,7,43,0,0,6,"1,431"
61331,18,9,9,-,18,0,0,0,0,0,0,18
61332,77,39,38,38.8,71,0,0,0,0,6,6,71
61333,323,176,147,42.1,317,0,4,6,0,0,3,320
61334,732,377,355,38.2,729,9,2,5,11,0,19,713
61335,441,236,205,54,429,0,3,9,0,3,84,357
61336,569,317,252,36.3,539,15,9,0,73,3,15,554
61337,393,211,182,42.6,376,0,0,0,0,21,24,369
61338,257,150,107,43.3,257,0,2,0,0,0,20,237
61340,245,117,128,47.7,245,0,0,0,0,0,4,241
61341,"7,999","3,791","4,208",41.3,"7,856",38,31,38,4,73,293,"7,706"
61342,"8,763","4,476","4,287",40.2,"8,310",109,36,139,21,313,"2,145","6,618"
61344,376,196,180,45.2,371,2,5,0,3,0,0,376
61345,835,443,392,43.4,808,4,3,3,0,17,19,816
61346,67,33,34,65.1,64,0,0,3,0,0,2,65
61348,"4,483","2,263","2,220",41.8,"4,330",124,13,69,0,52,344,"4,139"
61349,863,434,429,46.1,856,7,0,0,0,0,0,863
61350,"23,835","11,340","12,495",40.8,"22,359","1,083",218,330,0,443,"1,970","21,865"
61353,"1,201",566,635,46.2,"1,195",0,8,3,0,3,52,"1,149"
61354,"10,589","4,801","5,788",46.4,"10,289",158,17,116,10,226,882,"9,707"
61356,"10,680","4,917","5,763",46.9,"10,382",61,67,81,8,188,742,"9,938"
61358,312,152,160,48.7,307,2,0,0,0,4,9,303
61359,338,152,186,39.4,328,0,0,7,0,7,16,322
61360,"3,678","1,870","1,808",35.6,"3,661",4,5,25,0,0,219,"3,459"
61361,"1,117",521,596,45.6,"1,103",23,6,7,0,2,47,"1,070"
61362,"5,585","2,706","2,879",40.7,"4,927",272,47,107,0,394,861,"4,724"
61363,266,153,113,46.8,266,10,5,0,0,0,28,238
61364,"19,054","9,651","9,403",44.5,"17,814",738,221,229,0,333,"1,560","17,494"
61367,739,343,396,46.3,728,2,2,2,0,5,29,710
61368,"1,428",718,710,47,"1,414",13,9,5,0,6,38,"1,390"
61369,"1,656",785,871,50.9,"1,615",18,7,10,6,10,203,"1,453"
61370,"1,393",741,652,41.9,"1,384",0,7,10,0,13,93,"1,300"
61372,161,86,75,30.3,161,0,0,0,0,0,21,140
61373,"2,134","1,095","1,039",48.9,"2,096",0,0,62,0,4,46,"2,088"
61374,118,59,59,66.5,118,0,0,0,0,0,0,118
61375,"1,157",603,554,56.2,"1,120",0,0,8,0,32,48,"1,109"
61376,"2,118","1,076","1,042",47.6,"2,118",7,29,5,0,0,61,"2,057"
61377,"1,421",662,759,39.1,"1,409",13,5,0,0,9,48,"1,373"
61378,333,176,157,59.2,333,0,0,0,0,0,2,331
61379,"1,488",772,716,41.7,"1,475",32,7,6,0,10,39,"1,449"
61401,"33,685","17,411","16,274",41.4,"27,683","4,743",306,645,0,"1,028","2,478","31,207"
61410,"3,892","1,731","2,161",39.4,"3,865",55,62,0,0,0,39,"3,853"
61411,444,274,170,54.6,444,0,0,0,0,0,12,432
61412,"1,467",760,707,44,"1,445",90,21,0,2,0,13,"1,454"
61413,906,442,464,42.4,891,3,0,0,0,15,12,894
61414,937,497,440,37,902,32,0,6,0,0,16,921
61415,"1,889",945,944,39.8,"1,887",8,0,0,0,0,4,"1,885"
61416,294,128,166,39.1,294,0,0,0,0,0,0,294
61417,286,139,147,50.9,281,0,0,5,0,0,5,281
61418,542,249,293,56.2,536,0,4,6,0,0,0,542
61419,114,46,68,59,112,2,0,1,0,0,0,114
61420,"1,121",574,547,44.1,"1,115",20,4,0,0,0,0,"1,121"
61421,"1,300",667,633,44.4,"1,274",24,0,7,0,2,25,"1,275"
61422,"3,164","1,651","1,513",43.1,"3,101",31,8,28,0,0,0,"3,164"
61423,519,228,291,49.3,513,0,0,0,0,6,6,513
61424,135,72,63,27.4,135,0,0,0,0,0,0,135
61425,375,181,194,60.6,375,0,0,0,0,0,11,364
61426,109,48,61,36.8,109,0,0,0,0,0,0,109
61427,"2,192","1,073","1,119",47.2,"2,122",92,0,0,0,5,15,"2,177"
61428,"1,022",542,480,54.3,963,46,0,0,0,13,47,975
61430,677,345,332,45.5,677,11,0,6,0,0,10,667
61431,296,161,135,51.2,296,0,0,0,0,0,1,295
61432,658,326,332,44.3,647,5,0,0,6,0,32,626
61433,107,60,47,49.3,107,0,0,0,0,0,0,107
61434,"3,012","1,607","1,405",43.9,"2,965",33,8,19,0,35,75,"2,937"
61435,29,6,23,68.3,29,0,0,0,0,0,0,29
61436,650,301,349,54.6,641,18,0,0,0,19,48,602
61437,972,484,488,37.8,972,0,2,0,0,0,18,954
61438,917,511,406,39.4,916,3,0,0,0,0,37,880
61439,242,133,109,52.5,233,5,0,0,0,4,12,230
61440,690,350,340,44,686,0,8,0,0,4,8,682
61441,"1,001",504,497,47,979,0,0,22,0,10,10,991
61442,708,326,382,44.6,702,7,2,5,0,0,0,708
61443,"13,663","6,545","7,118",40.2,"12,054",783,33,187,0,796,"1,389","12,274"
61447,"1,025",514,511,45.7,"1,011",0,0,0,0,14,14,"1,011"
61448,"3,837","1,729","2,108",42.6,"3,806",40,4,20,0,14,101,"3,736"
61449,337,186,151,48.9,337,0,0,0,0,0,6,331
61450,"1,787",858,929,43.8,"1,787",14,10,0,0,0,28,"1,759"
61451,331,185,146,45.8,331,4,0,0,0,0,0,331
61452,222,102,120,48.2,222,0,0,0,0,0,1,221
61453,578,310,268,39.1,530,0,11,37,0,0,3,575
61454,500,217,283,47.9,500,5,0,0,0,7,21,479
61455,"20,698","9,693","11,005",27.9,"18,433","1,761",167,762,61,127,754,"19,944"
61458,669,341,328,54.3,669,0,0,0,0,0,21,648
61459,385,210,175,56.2,359,26,1,0,0,0,1,384
61460,322,133,189,48.5,322,0,3,0,0,0,21,301
61462,"11,521","5,439","6,082",36.1,"9,961",543,172,411,0,704,"1,553","9,968"
61465,"1,161",629,532,47.8,"1,150",18,3,2,0,0,20,"1,141"
61466,326,184,142,55,319,0,7,0,0,0,0,326
61467,"1,170",605,565,37.6,"1,134",27,46,0,0,9,9,"1,161"
61468,81,47,34,32.8,81,7,0,0,0,0,0,81
61469,"2,248","1,176","1,072",52,"2,197",11,37,32,0,0,33,"2,215"
61470,537,253,284,43,520,18,0,20,0,0,23,514
61471,60,28,32,63.5,60,0,7,0,0,0,0,60
61472,517,293,224,56.3,506,10,0,3,0,0,37,480
61473,"1,509",740,769,39.3,"1,460",20,3,0,0,29,30,"1,479"
61474,292,138,154,40.7,292,0,0,0,0,0,0,292
61475,203,113,90,50.3,203,2,0,0,0,0,0,203
61476,375,183,192,51.6,375,13,0,0,0,0,10,365
61477,573,237,336,47.3,572,0,1,0,0,0,2,571
61478,319,163,156,41.8,319,0,0,0,0,0,13,306
61479,65,34,31,29.4,65,0,0,0,0,0,0,65
61480,"1,210",583,627,44.3,"1,208",10,0,0,0,0,7,"1,203"
61482,671,329,342,33.9,663,1,1,8,0,0,3,668
61483,"2,090","1,039","1,051",46.4,"2,034",32,14,36,0,0,21,"2,069"
61484,832,406,426,43.6,815,2,0,4,0,11,11,821
61485,447,242,205,53.2,447,0,4,0,0,0,4,443
61486,"1,469",756,713,37,"1,460",0,25,11,0,9,35,"1,434"
61488,"1,040",501,539,48.7,"1,012",4,6,8,0,17,29,"1,011"
61489,870,403,467,42.1,863,7,0,1,0,0,24,846
61490,"1,134",631,503,43.1,"1,131",3,0,0,0,0,14,"1,120"
61491,"1,927",929,998,47.6,"1,902",6,14,25,0,0,14,"1,913"
61501,"1,534",871,663,40.8,"1,505",19,3,12,0,0,2,"1,532"
61516,676,353,323,35.3,663,13,0,0,0,0,0,676
61517,"3,274","1,769","1,505",44.1,"3,229",67,2,0,0,13,8,"3,266"
61519,230,119,111,54.3,230,0,1,9,0,0,0,230
61520,"16,806","9,163","7,643",41.7,"15,498","1,285",141,59,10,52,788,"16,018"
61523,"11,191","5,630","5,561",43.4,"10,950",31,8,216,0,18,335,"10,856"
61524,381,177,204,31.4,381,0,0,0,0,0,6,375
61525,"9,188","4,553","4,635",36.2,"7,211",306,47,"1,670",0,235,306,"8,882"
61526,810,315,495,47.6,798,12,4,0,0,0,13,797
61528,"3,127","1,647","1,480",39.7,"2,778",0,0,341,0,21,244,"2,883"
61529,"2,699","1,319","1,380",43.4,"2,653",0,0,60,0,0,31,"2,668"
61530,"7,245","3,551","3,694",35.7,"7,056",114,52,41,0,132,243,"7,002"
61531,"3,335","1,647","1,688",40.9,"3,274",0,38,77,0,8,77,"3,258"
61532,645,322,323,36.7,644,0,0,0,0,1,0,645
61533,"2,509","1,274","1,235",41.9,"2,489",0,0,0,0,20,27,"2,482"
61534,"1,806",946,860,42.4,"1,796",9,3,0,0,0,25,"1,781"
61535,"1,697",966,731,41.6,"1,662",16,41,0,0,0,0,"1,697"
61536,"2,918","1,437","1,481",46.1,"2,888",15,10,19,0,7,181,"2,737"
61537,"2,754","1,369","1,385",44.1,"2,744",0,8,43,34,0,7,"2,747"
61539,206,114,92,37,205,0,0,0,0,1,4,202
61540,"2,770","1,360","1,410",46,"2,725",28,20,6,0,0,37,"2,733"
61541,91,40,51,55.3,88,0,0,3,0,0,0,91
61542,"3,628","1,818","1,810",46.3,"3,554",33,28,0,7,37,70,"3,558"
61543,152,69,83,56.5,152,0,0,0,0,0,0,152
61544,590,302,288,44,590,0,16,0,0,0,0,590
61545,700,361,339,36.2,692,0,0,5,0,3,8,692
61546,"3,767","1,889","1,878",45.7,"3,716",69,17,7,6,5,66,"3,701"
61547,"4,138","2,071","2,067",42.9,"4,104",13,0,0,9,24,68,"4,070"
61548,"11,950","5,873","6,077",41.8,"11,793",97,88,213,0,19,142,"11,808"
61550,"17,787","8,457","9,330",42.8,"17,225",248,31,258,9,95,529,"17,258"
61552,146,60,86,34.6,146,0,0,0,0,0,0,146
61553,140,60,80,41,140,0,0,0,0,0,0,140
61554,"42,059","20,686","21,373",40.8,"40,945",975,381,310,52,162,879,"41,180"
61559,"3,263","1,630","1,633",41.8,"3,190",22,11,80,2,0,208,"3,055"
61560,560,268,292,63.7,533,14,0,13,0,0,0,560
61561,"2,469","1,251","1,218",44.5,"2,437",15,0,9,0,10,82,"2,387"
61562,44,35,9,48.6,44,0,0,0,0,0,10,34
61563,519,264,255,39.3,519,0,2,0,0,0,1,518
61564,962,440,522,32.8,959,6,2,3,0,0,3,959
61565,"1,448",738,710,47.3,"1,447",0,14,1,0,0,51,"1,397"
61567,540,276,264,45.8,540,16,4,0,0,0,0,540
61568,"4,223","2,116","2,107",36.6,"4,121",10,19,98,0,7,58,"4,165"
61569,"1,184",542,642,54,"1,145",0,43,16,10,0,9,"1,175"
61570,"1,787",940,847,38.4,"1,781",21,15,23,0,0,25,"1,762"
61571,"24,974","11,943","13,031",38.8,"24,009",669,83,591,10,170,511,"24,463"
61572,"1,191",589,602,45.2,"1,186",32,20,0,0,0,0,"1,191"
61602,877,683,194,42.4,618,218,3,74,0,9,68,809
61603,"16,655","7,838","8,817",31.5,"8,542","8,002",362,176,12,"1,226","1,745","14,910"
61604,"30,582","14,642","15,940",38.5,"21,491","8,951",205,665,0,402,"1,339","29,243"
61605,"15,713","7,422","8,291",31.7,"6,353","9,391",202,65,68,509,"1,432","14,281"
61606,"7,870","3,938","3,932",22,"6,092","1,596",17,370,14,78,405,"7,465"
61607,"10,673","5,317","5,356",41.4,"10,513",237,18,117,15,32,212,"10,461"
61610,"5,493","2,785","2,708",40.2,"5,429",94,94,0,0,32,43,"5,450"
61611,"24,877","12,669","12,208",44,"23,910",505,131,517,0,99,740,"24,137"
61614,"28,012","13,243","14,769",40.9,"22,924","3,548",262,"2,194",36,367,687,"27,325"
61615,"23,168","11,005","12,163",37.1,"16,543","4,371",282,"2,521",30,616,"1,227","21,941"
61616,"5,910","2,746","3,164",36.3,"5,577",734,54,22,0,19,102,"5,808"
61625,370,202,168,20.3,321,23,0,33,0,0,28,342
61701,"35,783","17,527","18,256",33.7,"29,546","4,956",274,"1,459",33,482,"3,287","32,496"
61704,"37,204","18,626","18,578",35.8,"28,698","2,690",155,"5,564",0,"1,032","1,458","35,746"
61705,"12,971","6,313","6,658",36.5,"11,355","1,281",29,433,0,73,193,"12,778"
61720,201,106,95,30.1,201,0,0,0,0,0,0,201
61721,592,307,285,46.8,588,0,10,4,0,0,15,577
61722,478,230,248,37.5,473,2,5,0,0,0,0,478
61723,"2,595","1,322","1,273",40.1,"2,568",2,124,12,0,20,118,"2,477"
61724,494,238,256,47.9,493,0,22,0,0,0,0,494
61725,"1,703",973,730,35.6,"1,597",105,0,16,0,10,13,"1,690"
61726,"2,427","1,248","1,179",41.1,"2,366",55,3,21,0,17,79,"2,348"
61727,"9,826","4,869","4,957",41.8,"9,549",89,126,4,0,186,415,"9,411"
61728,"1,311",594,717,41.5,"1,286",10,22,0,0,19,52,"1,259"
61729,"1,201",614,587,39.6,"1,188",7,10,8,0,6,17,"1,184"
61730,301,162,139,50.6,301,0,0,0,0,0,1,300
61731,194,87,107,44.4,194,0,0,0,0,0,0,194
61732,"2,057","1,034","1,023",39.6,"2,035",35,26,37,0,0,10,"2,047"
61733,831,406,425,38.4,831,2,0,0,0,0,3,828
61734,"2,765","1,358","1,407",41.8,"2,727",20,13,10,0,6,115,"2,650"
61735,454,218,236,42.4,451,0,25,1,0,3,0,454
61736,"1,750",874,876,43.3,"1,729",18,9,11,1,8,95,"1,655"
61737,476,237,239,42.5,467,6,0,6,0,0,0,476
61738,"4,395","2,225","2,170",36,"4,294",160,4,0,0,0,21,"4,374"
61739,"4,577","2,225","2,352",38.5,"4,498",0,0,79,0,0,391,"4,186"
61740,"1,536",706,830,49.2,"1,485",20,8,21,0,20,52,"1,484"
61741,"1,703",860,843,34.5,"1,690",12,15,0,0,7,77,"1,626"
61742,"1,250",641,609,43.9,"1,247",3,0,0,0,0,0,"1,250"
61743,205,95,110,38.5,195,15,0,0,0,0,5,200
61744,"1,865",890,975,37.4,"1,794",64,12,6,0,17,70,"1,795"
61745,"4,614","2,343","2,271",36,"4,555",66,14,107,64,11,103,"4,511"
61747,"1,479",719,760,46.4,"1,475",7,8,0,0,2,17,"1,462"
61748,"2,720","1,298","1,422",39.7,"2,688",37,0,8,0,14,11,"2,709"
61749,461,229,232,56.4,461,0,3,0,0,0,0,461
61750,154,104,50,25.8,154,0,12,0,0,0,0,154
61751,83,45,38,46.9,83,0,0,0,0,0,0,83
61752,"4,389","2,193","2,196",43,"4,373",11,18,0,0,5,0,"4,389"
61753,"3,058","1,453","1,605",41.1,"3,022",31,14,4,0,0,13,"3,045"
61754,"1,063",515,548,50.4,"1,061",0,10,1,0,3,6,"1,057"
61755,"4,738","2,395","2,343",39,"4,698",21,14,0,0,9,91,"4,647"
61756,"2,413","1,323","1,090",39.6,"2,389",37,189,13,0,0,22,"2,391"
61759,"1,529",760,769,43.8,"1,515",4,14,0,0,0,66,"1,463"
61760,"2,519","1,213","1,306",40.3,"2,472",34,0,16,0,27,39,"2,480"
61761,"55,222","25,848","29,374",24.7,"46,040","6,665",312,"3,100",25,464,"2,917","52,305"
61764,"14,026","7,479","6,547",41.1,"12,422","1,392",95,192,0,125,709,"13,317"
61769,621,305,316,43.1,568,0,10,45,0,31,52,569
61770,"1,138",530,608,42.5,"1,127",0,0,0,0,11,31,"1,107"
61771,743,380,363,42.2,737,0,4,1,0,8,9,734
61772,238,120,118,55.3,238,0,0,0,0,0,0,238
61773,413,240,173,43.3,413,3,0,0,0,0,3,410
61774,"1,120",653,467,36,"1,108",10,7,5,0,5,18,"1,102"
61775,327,157,170,44.5,325,0,0,0,0,2,23,304
61776,"1,348",643,705,48.5,"1,341",1,5,0,0,6,6,"1,342"
61777,728,343,385,43,728,2,41,0,0,0,4,724
61778,691,329,362,34.6,691,0,1,0,0,0,0,691
61801,"31,157","16,296","14,861",23.6,"19,386","4,644",334,"7,330",100,278,"2,150","29,007"
61802,"19,349","9,288","10,061",36.1,"13,764","4,197",193,"1,501",40,261,"1,306","18,043"
61810,346,162,184,41,336,4,0,5,0,4,3,343
61811,678,322,356,41.1,674,4,5,38,0,0,1,677
61812,381,182,199,54.5,351,0,0,4,3,30,30,351
61813,"1,656",821,835,45,"1,618",40,13,4,1,0,4,"1,652"
61814,"1,074",531,543,43.9,"1,023",29,0,9,0,15,41,"1,033"
61815,259,133,126,45.5,256,0,1,5,0,0,27,232
61816,458,229,229,44.4,453,1,1,4,0,0,4,454
61817,"2,516","1,281","1,235",42.2,"2,516",0,0,0,0,14,28,"2,488"
61818,"1,712",880,832,38.2,"1,711",4,14,15,0,0,1,"1,711"
61820,"38,156","20,113","18,043",22.4,"25,955","5,697",137,"6,496",0,574,"2,979","35,177"
61821,"30,582","15,186","15,396",35.3,"21,347","7,939",226,"1,630",48,443,"1,813","28,769"
61822,"25,829","12,329","13,500",39.5,"18,079","3,402",166,"4,944",0,197,870,"24,959"
61830,337,178,159,48.3,336,3,14,0,0,0,0,337
61831,134,79,55,59.3,128,0,0,6,0,0,0,134
61832,"34,918","16,578","18,340",38.2,"24,759","10,018",89,496,33,325,"1,872","33,046"
61833,"2,199","1,034","1,165",44,"2,199",22,10,0,0,0,167,"2,032"
61834,"8,778","5,172","3,606",42.2,"7,524","1,208",43,48,26,25,454,"8,324"
61839,610,313,297,43.8,608,2,12,0,0,0,22,588
61840,819,456,363,53.1,819,0,0,0,0,0,0,819
61841,"1,341",653,688,39.3,"1,337",3,6,1,0,0,14,"1,327"
61842,"2,727","1,345","1,382",48,"2,709",0,66,0,9,7,7,"2,720"
61843,"2,368","1,166","1,202",37.8,"2,343",14,11,33,18,0,46,"2,322"
61844,715,309,406,56,704,12,5,0,0,3,5,710
