zipcode,total_pop,male,female,med_age,race_w,race_aa,race_nat,race_as,race_api,race_oth,eth_hisp,eth_nonhisp
60134,29401,14287,15114,41,28594,97,37,618,0,381,1662,27739
60135,6906,3556,3350,40.6,6770,167,147,55,0,58,762,6144
60136,7742,4153,3589,31.7,5295,634,0,1041,0,772,1319,6423
60137,38279,18432,19847,41,33899,1333,236,3418,0,327,2321,35958
60139,34364,17164,17200,33.7,19839,3400,390,8446,256,4087,10753,23611
60140,17639,8593,9046,39.7,16646,156,0,706,0,351,1638,16001
60141,216,188,28,69.4,137,75,0,0,0,4,17,199
60142,28121,13197,14924,46.5,25322,958,33,1920,36,286,3104,25017
60143,10996,5274,5722,45.6,10099,227,12,665,20,169,1309,9687
60144,69,35,34,60.4,69,0,0,0,0,0,0,69
60145,2673,1518,1155,33.4,2635,117,1,0,3,18,321,2352
60146,2655,1354,1301,38.8,2580,22,2,19,0,71,160,2495
60148,52963,26126,26837,38,42685,3136,291,7075,35,1101,5280,47683
60150,1692,897,795,42.2,1673,14,17,5,0,7,180,1512
60151,4024,1974,2050,42.7,3933,81,27,37,0,21,131,3893
60152,12345,6113,6232,44.7,11986,180,35,54,0,237,1722,10623
60153,23810,11498,12312,36.4,4044,16391,355,213,0,3371,6510,17300
60154,16573,7835,8738,45.7,11695,3065,50,691,125,1491,3575,12998
60155,7829,3920,3909,46,1416,6165,0,414,230,24,268,7561
60156,28886,14163,14723,35.1,26251,977,71,1979,117,428,3487,25399
60157,2502,1316,1186,42.5,2240,11,0,245,0,6,0,2502
60160,25412,13162,12250,33.7,14990,1589,141,204,0,8652,18878,6534
60162,8165,3855,4310,40.2,2797,3943,58,82,0,1475,2586,5579
60163,5161,2585,2576,40.3,2787,1491,70,210,57,651,1906,3255
60164,21600,10827,10773,36.3,16804,714,251,499,13,3987,13337,8263
60165,4923,2576,2347,30.3,2459,173,25,154,0,2179,4360,563
60169,33667,16523,17144,35.8,18210,2648,190,8712,0,5197,7626,26041
60171,10148,4828,5320,38.4,8742,174,67,193,0,1299,3014,7134
