city_name,county_name,lat,long
Lindenhurst,Lake,42.4105765,-88.0261911
Shawneetown,Gallatin,37.713102,-88.1867027
Riverdale,Cook,41.6333678,-87.6331021
Bishop Hill,Henry,41.2017036,-90.1190054
Beardstown,Cass,40.0175483,-90.4242916
Saint Francisville,Lawrence,38.5911584,-87.646692
Manchester,Scott,39.5422692,-90.3323435
Coalton,Montgomery,39.2828235,-89.3011961
Pittsburg,Williamson,37.7769938,-88.8495103
Du Quoin,Perry,38.0114393,-89.2361935
Greenwood,McHenry,42.3925202,-88.3892586
Brownfield,Pope,37.3456083,-88.6069932
Murphysboro,Jackson,37.7644952,-89.3350888
Mount Olive,Macoupin,39.072269,-89.7273148
Jerseyville,Jersey,39.1200471,-90.3284479
McHenry,McHenry,42.333355,-88.2667534
De Soto,Jackson,37.8175506,-89.2278613
Old Shawneetown,Gallatin,37.6969906,-88.1367006
Cantrall,Sangamon,39.9378273,-89.6759372
Arcola,Douglas,39.684755,-88.3064367
Mound City,Pulaski,37.0853292,-89.1625731
Ridott,Stephenson,42.2964089,-89.4753917
Fillmore,Montgomery,39.115323,-89.2789678
Freeport,Stephenson,42.2966861,-89.6212271
Lake Bluff,Lake,42.2789117,-87.8342362
Wadsworth,Lake,42.4286321,-87.9239651
Meadowbrook,Madison,38.8983802,-90.0067708
Metropolis,Massac,37.1511655,-88.7319979
Noble,Richland,38.6975481,-88.223653
Cedarville,Stephenson,42.3758493,-89.6331727
Exeter,Scott,39.7208791,-90.4965142
La Rose,Marshall,40.9822568,-89.2353629
Bay View Gardens,Woodford,40.8099383,-89.5233941
Dunfermline,Fulton,40.4911505,-90.0317835
LaPlace,Piatt,39.8000351,-88.7175691
Royalton,Franklin,37.8769946,-89.1145223
Monmouth,Warren,40.9114271,-90.6473576
Inverness,Cook,42.1180815,-88.0961865
Saint Joseph,Champaign,40.1117007,-88.0417048
Cullom,Livingston,40.8778116,-88.2692177
Ashkum,Iroquois,40.8803114,-87.9550405
Trimble,Crawford,39.0633747,-87.6844704
Lombard,DuPage,41.8800296,-88.0078435
Dawson,Sangamon,39.8528263,-89.463428
Dixon,Lee,41.8389213,-89.4795478
Downs,McLean,40.39698,-88.8706291
Sauk Village,Cook,41.4883685,-87.5675414
Grand Tower,Jackson,37.6264389,-89.4978743
Oakley,Macon,39.8761472,-88.8059068
Mulkeytown,Franklin,37.9708835,-89.1114662
Apple River,Jo Daviess,42.5050054,-90.0987361
Winfield,DuPage,41.8616956,-88.1609031
Oquawka,Henderson,40.931982,-90.9470863
Ashland,Cass,39.8878264,-90.0078907
Signal Hill,Saint Clair,38.5772726,-90.0567733
Metamora,Woodford,40.7905919,-89.3606433
Borton,Edgar,39.6558681,-87.9339219
Morrisonville,Christian,39.4200501,-89.4556486
Bryant,Fulton,40.4661513,-90.0917851
Elco,Alexander,37.3006054,-89.2659154
Buda,Bureau,41.3261476,-89.6789874
Hamilton,Hancock,40.3964333,-91.3390389
Lee Center,Lee,41.7475326,-89.2787057
East Saint Louis,Saint Clair,38.6244952,-90.1509428
Kaneville,Kane,41.8353062,-88.5220233
Tolono,Champaign,39.9861415,-88.2589387
Cabery,Kankakee,40.9958657,-88.2053282
Lake Summerset,Winnebago,42.4544581,-89.3895593
Raritan,Henderson,40.6958732,-90.8273591
Phillipstown,White,38.1419908,-88.0216993
Elmwood,Peoria,40.7778151,-89.9665017
