zipcode,zhvi
61019,153799.50
61020,160326.83
61021,96859.75
61024,129665.67
61025,151943.58
61028,117983.25
61030,84495.17
61031,99249.92
61032,63418.00
61036,186850.33
61038,194221.08
61039,101542.33
61041,91010.75
61042,108810.42
61043,100458.58
61044,113991.42
61046,195972.25
61047,102337.25
61048,118058.08
61049,148982.67
61050,79880.42
61051,91543.08
61052,135669.67
61053,93557.33
61054,83739.50
61057,61245.08
61060,117099.42
61061,122098.17
61062,129577.25
61063,127084.92
61064,88212.33
61065,149040.42
61067,147274.08
61068,122508.50
61070,136188.75
61071,94616.33
61072,168507.83
61073,183045.58
61074,57082.92
61075,117197.75
61078,106278.58
61080,134482.67
61081,95764.50
61084,167828.00
61085,94860.42
61087,68898.25
61088,151948.00
61089,93419.25
61091,81946.75
61101,37082.33
61102,44418.92
61103,66447.00
61104,40970.00
61107,117733.92
61108,89841.42
61109,100627.83
61111,112012.25
61114,153362.08
61115,115334.75
61201,91742.17
61230,117470.75
61231,94422.17
61232,121353.75
61233,121473.50
61234,112746.33
61235,118251.17
61236,67088.50
61238,109904.17
61239,80094.75
61240,177410.58
61241,127835.17
61242,140774.08
61243,90249.33
61244,104697.58
61250,121953.92
61251,131216.92
61252,116658.67
61254,167034.83
61256,141194.75
61257,102355.67
61258,59619.25
61259,169563.92
61260,70064.17
61261,81336.58
61262,168254.50
61263,76926.67
61264,121307.33
61265,105564.00
61270,109525.00
61272,75687.33
61273,149116.83
61274,134471.50
61275,208954.33
61276,137836.58
61277,110079.25
61278,142288.17
61279,117220.42
61281,171289.67
61282,101916.00
61283,76796.58
61284,171831.08
61285,108777.83
61301,89976.75
61310,94213.17
61311,80095.08
61312,89314.75
61313,110578.25
61314,50763.75
61316,67357.33
61317,70284.92
61318,95093.67
61319,91016.17
61320,101846.00
61321,74075.08
61322,35030.67
61324,74058.33
61325,90092.75
61326,98325.67
61327,112362.17
61328,52620.42
61329,86540.17
61330,95997.42
61331,58738.67
61332,61663.83
61333,83273.58
61334,88030.58
61335,98613.67
61336,80008.17
61337,71446.67
61338,56989.33
61340,61886.50
61341,118917.25
61342,100705.17
61344,56570.25
61345,52108.25
61348,96727.08
61349,90336.75
61350,133692.83
61353,106828.58
61354,110655.17
61356,116978.67
61359,69290.00
61360,167446.00
61361,80630.92
61362,77548.25
61364,64166.25
61367,119254.83
61368,76631.83
61369,62964.67
61370,106838.17
61371,79248.08
61372,99365.83
61373,175860.75
61374,66088.33
61375,152805.92
61376,88630.00
61377,70692.58
61378,124353.50
61379,72775.08
61401,68229.25
61410,59676.67
61411,62941.75
61412,72806.08
61413,93432.75
61414,73854.00
61415,106237.25
61416,30268.33
61417,85007.42
61418,78875.92
61419,70577.33
61420,52221.83
61421,70070.33
61422,58177.92
61423,80573.08
61424,56045.50
61425,72470.17
61427,83438.50
61428,224367.92
61430,76012.50
61431,81606.42
61432,71535.00
61434,68101.50
61435,105139.67
61436,87557.67
61437,76096.50
61438,79750.08
61439,73422.25
61440,54621.25
61441,60564.42
61442,49300.92
61443,51014.08
61447,72555.25
61448,98284.67
61449,55364.42
61450,77262.25
61451,76412.25
61453,64963.17
61454,57735.25
61455,93144.67
61458,72276.75
61459,47679.42
61460,74302.08
61462,78869.33
61465,89287.83
61467,82449.67
61469,67015.83
61470,27038.08
61471,47391.00
61472,106608.17
61473,74290.25
61474,57882.83
61475,64606.58
61476,63650.33
61477,52635.83
61478,76215.83
61479,132620.08
61480,66805.83
61482,49814.42
61483,75497.50
61484,51498.58
61485,62609.17
61486,95626.42
61488,80323.25
61489,79948.08
61490,100157.33
61491,75402.33
61501,50958.75
61516,82697.58
61517,180531.92
61519,52756.42
61520,75753.50
61523,121068.00
61524,69941.75
61525,244723.75
61526,184235.33
61528,239963.17
61529,117759.25
61530,147782.42
61531,84009.17
61532,46023.33
61533,117554.17
61534,111049.92
61535,180972.58
61536,138343.42
61537,78456.33
61539,49856.33
61540,91679.33
61541,48426.08
61542,66962.58
61544,58828.92
61545,117541.00
61546,98991.33
61547,171870.08
61548,214191.25
61550,186901.92
61552,86537.83
61554,91370.58
61559,141079.83
61560,139019.25
61561,109992.92
61562,77840.17
61563,42482.25
61564,71325.67
61565,128893.83
61567,42661.75
61568,159174.00
61569,145870.50
61570,79896.50
61571,152146.08
61572,87263.75
61602,74678.83
61603,34691.75
61604,71622.50
61606,73637.75
61607,112827.58
61610,68086.25
61611,122721.17
61614,134006.75
61615,164856.25
61616,71437.58
61701,110026.67
61704,208341.25
61705,244011.92
61720,84136.58
61721,79991.00
61722,103219.17
61723,107938.92
61724,99050.58
61725,150865.08
61726,96874.42
61727,91993.75
61728,95007.83
61729,182785.17
61730,108584.75
61731,86411.75
61732,137779.67
61733,123734.08
61734,106988.42
61735,112995.00
61736,185344.67
